GDP,Population,Energy_production,Energy_consumption,CO2_emission,per_capita_production,Energy_intensity_by_GDP,balance,eficiency,energy_dependecy,use_intensity_pc,co2_pc,latitude,longitude,Year,Country,Energy_type,CODE_x,continent,clusters,energy_type
279.389,15182.6,0.15,0.155,0.0,104.341,5.67,-0.005,0.0,0.001,0.0,0.0,6.424,-66.59,1980-01-01,Venezuela,renewables_n_other,VEN,South America,1,0
279.389,15182.6,5.0,0.812,0.0,104.341,5.67,4.188,0.0,0.003,0.0,0.0,6.424,-66.59,1980-01-01,Venezuela,petroleum_n_other_liquids,VEN,South America,3,3
279.389,15182.6,0.616,0.616,0.0,104.341,5.67,0.0,0.0,0.002,0.0,0.0,6.424,-66.59,1980-01-01,Venezuela,natural_gas,VEN,South America,3,2
279.389,15182.6,0.001,0.002,0.0,104.341,5.67,-0.0,0.0,0.0,0.0,0.0,6.424,-66.59,1980-01-01,Venezuela,coal,VEN,South America,1,4
278.376,15597.88,0.156,0.161,0.0,110.257,6.178,-0.005,0.0,0.001,0.0,0.0,6.424,-66.59,1981-01-01,Venezuela,renewables_n_other,VEN,South America,1,0
278.376,15597.88,4.829,0.876,56.083,110.257,6.178,3.952,11.614,0.003,0.0,0.004,6.424,-66.59,1981-01-01,Venezuela,petroleum_n_other_liquids,VEN,South America,2,3
278.376,15597.88,0.681,0.681,32.669,110.257,6.178,0.0,47.955,0.002,0.0,0.002,6.424,-66.59,1981-01-01,Venezuela,natural_gas,VEN,South America,0,2
278.376,15597.88,0.001,0.001,0.746,110.257,6.178,0.0,517.122,0.0,0.0,0.0,6.424,-66.59,1981-01-01,Venezuela,coal,VEN,South America,1,4
272.61,16017.58,0.166,0.168,0.0,109.116,6.411,-0.002,0.0,0.001,0.0,0.0,6.424,-66.59,1982-01-01,Venezuela,renewables_n_other,VEN,South America,1,0
272.61,16017.58,4.369,0.864,61.0,109.116,6.411,3.505,13.962,0.003,0.0,0.004,6.424,-66.59,1982-01-01,Venezuela,petroleum_n_other_liquids,VEN,South America,2,3
272.61,16017.58,0.715,0.715,36.145,109.116,6.411,0.0,50.581,0.003,0.0,0.002,6.424,-66.59,1982-01-01,Venezuela,natural_gas,VEN,South America,0,2
272.61,16017.58,0.002,0.001,0.702,109.116,6.411,0.0,467.598,0.0,0.0,0.0,6.424,-66.59,1982-01-01,Venezuela,coal,VEN,South America,1,4
266.744,16443.12,0.193,0.196,0.0,102.995,6.349,-0.004,0.0,0.001,0.0,0.0,6.424,-66.59,1983-01-01,Venezuela,renewables_n_other,VEN,South America,1,0
266.744,16443.12,4.152,0.81,60.0,102.995,6.349,3.343,14.45,0.003,0.0,0.004,6.424,-66.59,1983-01-01,Venezuela,petroleum_n_other_liquids,VEN,South America,2,3
266.744,16443.12,0.686,0.686,37.914,102.995,6.349,0.0,55.267,0.003,0.0,0.002,6.424,-66.59,1983-01-01,Venezuela,natural_gas,VEN,South America,0,2
266.744,16443.12,0.001,0.002,0.384,102.995,6.349,-0.0,353.065,0.0,0.0,0.0,6.424,-66.59,1983-01-01,Venezuela,coal,VEN,South America,1,4
273.556,16876.7,0.203,0.207,0.0,100.99,6.23,-0.004,0.0,0.001,0.0,0.0,6.424,-66.59,1984-01-01,Venezuela,renewables_n_other,VEN,South America,1,0
273.556,16876.7,4.125,0.769,56.0,100.99,6.23,3.356,13.576,0.003,0.0,0.003,6.424,-66.59,1984-01-01,Venezuela,petroleum_n_other_liquids,VEN,South America,2,3
273.556,16876.7,0.727,0.727,36.398,100.99,6.23,0.0,50.099,0.003,0.0,0.002,6.424,-66.59,1984-01-01,Venezuela,natural_gas,VEN,South America,0,2
273.556,16876.7,0.002,0.002,0.606,100.99,6.23,-0.0,403.924,0.0,0.0,0.0,6.424,-66.59,1984-01-01,Venezuela,coal,VEN,South America,1,4
274.085,17319.55,0.228,0.234,0.0,100.868,6.374,-0.006,0.0,0.001,0.0,0.0,6.424,-66.59,1985-01-01,Venezuela,renewables_n_other,VEN,South America,1,0
274.085,17319.55,3.852,0.775,53.0,100.868,6.374,3.077,13.759,0.003,0.0,0.003,6.424,-66.59,1985-01-01,Venezuela,petroleum_n_other_liquids,VEN,South America,2,3
274.085,17319.55,0.736,0.736,38.546,100.868,6.374,0.0,52.37,0.003,0.0,0.002,6.424,-66.59,1985-01-01,Venezuela,natural_gas,VEN,South America,0,2
274.085,17319.55,0.002,0.002,0.618,100.868,6.374,-0.0,389.065,0.0,0.0,0.0,6.424,-66.59,1985-01-01,Venezuela,coal,VEN,South America,1,4
291.929,17772.0,0.26,0.267,0.0,105.96,6.451,-0.007,0.0,0.001,0.0,0.0,6.424,-66.59,1986-01-01,Venezuela,renewables_n_other,VEN,South America,1,0
291.929,17772.0,4.15,0.812,54.0,105.96,6.451,3.338,13.011,0.003,0.0,0.003,6.424,-66.59,1986-01-01,Venezuela,petroleum_n_other_liquids,VEN,South America,2,3
291.929,17772.0,0.803,0.803,39.052,105.96,6.451,0.0,48.648,0.003,0.0,0.002,6.424,-66.59,1986-01-01,Venezuela,natural_gas,VEN,South America,0,2
291.929,17772.0,0.002,0.002,0.863,105.96,6.451,-0.0,514.684,0.0,0.0,0.0,6.424,-66.59,1986-01-01,Venezuela,coal,VEN,South America,1,4
302.385,18232.72,0.318,0.324,0.0,105.287,6.348,-0.006,0.0,0.001,0.0,0.0,6.424,-66.59,1987-01-01,Venezuela,renewables_n_other,VEN,South America,1,0
302.385,18232.72,4.067,0.811,56.0,105.287,6.348,3.256,13.769,0.003,0.0,0.003,6.424,-66.59,1987-01-01,Venezuela,petroleum_n_other_liquids,VEN,South America,2,3
302.385,18232.72,0.782,0.782,42.59,105.287,6.348,0.0,54.43,0.003,0.0,0.002,6.424,-66.59,1987-01-01,Venezuela,natural_gas,VEN,South America,0,2
302.385,18232.72,0.004,0.002,0.912,105.287,6.348,0.002,256.132,0.0,0.0,0.0,6.424,-66.59,1987-01-01,Venezuela,coal,VEN,South America,1,4
319.987,18698.85,0.35,0.355,0.0,103.274,6.035,-0.005,0.0,0.001,0.0,0.0,6.424,-66.59,1988-01-01,Venezuela,renewables_n_other,VEN,South America,1,0
319.987,18698.85,4.423,0.793,56.0,103.274,6.035,3.63,12.66,0.002,0.0,0.003,6.424,-66.59,1988-01-01,Venezuela,petroleum_n_other_liquids,VEN,South America,2,3
319.987,18698.85,0.781,0.781,41.516,103.274,6.035,0.0,53.138,0.002,0.0,0.002,6.424,-66.59,1988-01-01,Venezuela,natural_gas,VEN,South America,0,2
319.987,18698.85,0.032,0.002,0.852,103.274,6.035,0.031,26.559,0.0,0.0,0.0,6.424,-66.59,1988-01-01,Venezuela,coal,VEN,South America,1,4
